tick address bitflip_pos qt_err will_recode curr_ecc next_ecc block_pos data_write data_rec fixed
10390 3801 0 0 False 1 -1 1 28043 6d8b True
10416 1365 0 0 False 1 -1 0 17990 4646 True
10442 1231 0 0 False 1 -1 0 60890 edda True
10468 5058 0 0 False 1 -1 2 11074 2b42 True
10494 3637 0 0 False 1 -1 1 49751 c257 True
10520 3523 0 0 False 1 -1 1 57796 e1c4 True
10546 1304 0 0 False 1 -1 0 20545 5041 True
10572 5582 0 0 False 1 -1 2 41894 a3a6 True
10598 409 0 0 False 1 -1 0 3512 0db8 True
10624 1384 0 0 False 1 -1 0 37083 90db True
10650 7657 0 0 False 1 -1 3 36059 8cdb True
10676 495 0 0 False 1 -1 0 37674 932a True
10702 2888 0 0 False 1 -1 1 60258 eb62 True
10728 6216 0 0 False 1 -1 3 23918 5d6e True
10754 7042 0 0 False 1 -1 3 64038 fa26 True
10780 590 0 0 False 1 -1 0 13054 32fe True
10806 6943 0 0 False 1 -1 3 4589 11ed True
10832 6057 0 0 False 1 -1 3 36982 9076 True
10858 3626 0 0 False 1 -1 1 51287 c857 True
10884 5575 0 0 False 1 -1 2 15577 3cd9 True
10910 5098 0 0 False 1 -1 2 17490 4452 True
10936 5505 0 0 False 1 -1 2 18962 4a12 True
10962 6927 0 0 False 1 -1 3 32913 8091 True
10988 5385 0 0 False 1 -1 2 47233 b881 True
11014 3828 0 0 False 1 -1 1 39316 9994 True
11040 3062 0 0 False 1 -1 1 21922 55a2 True
11066 4021 0 0 False 1 -1 2 18489 4839 True
11092 3994 8-15- 0 False 1 -1 1 60937 ea01 False
11186 7652 0 0 False 1 -1 3 11963 2ebb True
11212 3174 0 0 False 1 -1 1 28595 6fb3 True
11238 5570 0 0 False 1 -1 2 17949 461d True
11264 2786 0 0 False 1 -1 1 7420 1cfc True
11290 874 0 0 False 1 -1 0 56005 dac5 True
11316 3573 0 0 False 1 -1 1 15373 3c0d True
11342 4468 0 0 False 1 -1 2 44669 ae7d True
11368 6300 0 0 False 1 -1 3 57650 e132 True
11394 4114 0 0 False 1 -1 2 36256 8da0 True
11420 5247 0 0 False 1 -1 2 10616 2978 True
11446 4700 0 0 False 1 -1 2 12656 3170 True
11472 5902 0 0 False 1 -1 2 45565 b1fd True
11498 1360 0 0 False 1 -1 0 20609 5081 True
11524 2797 0 0 False 1 -1 1 59444 e834 True
11550 1540 0 0 False 1 -1 0 29340 729c True
11576 4872 0 0 False 1 -1 2 50942 c6fe True
11602 4640 0 0 False 1 -1 2 8801 2261 True
11628 7043 0 0 False 1 -1 3 36539 8ebb True
11654 4168 0 0 False 1 -1 2 11671 2d97 True
11680 4834 0 0 False 1 -1 2 6890 1aea True
11706 4077 0 0 False 1 -1 2 40969 a009 True
11732 7770 0 0 False 1 -1 3 37825 93c1 True
